City_Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
305,Hasaki,35.7333,140.8333,64.4,59,75,10.36,JP,broken clouds
306,Sola,-13.8833,167.55,87.8,89,100,3.44,VU,overcast clouds
307,Tiznit,29.5833,-9.5,64.72,23,0,5.37,MA,clear sky
308,Teknaf,20.8624,92.3058,77.14,64,3,1.88,BD,clear sky
309,Ribeira Grande,38.5167,-28.7,56.97,63,20,3.53,PT,few clouds
310,Cotacachi,0.3,-78.2667,53.6,94,75,4.61,EC,moderate rain
311,San Vicente,-26.6167,-54.1333,65.16,99,100,2.21,AR,light rain
312,Ponta Do Sol,32.6667,-17.1,57.0,66,100,1.01,PT,overcast clouds
313,Tura,25.5198,90.2201,74.57,26,2,3.62,IN,clear sky
314,Dodge City,37.7528,-100.0171,36.0,93,90,6.91,US,snow
315,Jalu,29.0331,21.5482,53.74,52,51,9.6,LY,broken clouds
316,Eirunepe,-6.6603,-69.8736,72.82,96,89,1.88,BR,overcast clouds
317,Taian,36.1853,117.12,62.01,52,93,5.12,CN,overcast clouds
318,Kushikino,31.7167,130.2667,53.6,100,75,4.61,JP,fog
319,Maragogi,-9.0122,-35.2225,78.01,79,10,7.7,BR,clear sky
320,Waipawa,-41.4122,175.5153,69.01,68,90,6.91,NZ,overcast clouds
321,Pochutla,15.7432,-96.4661,84.2,58,1,17.27,MX,clear sky
322,Yenagoa,4.9247,6.2642,74.7,90,100,3.53,NG,overcast clouds
323,Filadelfia,39.9523,-75.1638,57.99,100,90,8.05,US,light rain
324,Adre,13.4667,22.2,80.38,16,24,19.73,TD,few clouds
325,Haines Junction,60.7522,-137.5108,30.2,34,100,8.05,CA,overcast clouds
326,Ust-Kuyga,70.0167,135.6,-13.94,94,100,5.59,RU,overcast clouds
327,Lachhmangarh,27.8214,75.0251,66.38,36,4,5.91,IN,clear sky
328,Pervomayskoye,43.919,46.7102,40.68,77,100,19.48,RU,overcast clouds
329,Klaksvik,62.2266,-6.589,39.2,87,16,2.3,FO,few clouds
330,Gushikawa,26.3544,127.8686,69.8,73,1,11.5,JP,clear sky
331,Villa Rica,33.7321,-84.9191,66.99,80,8,5.39,US,clear sky
332,Opuwo,-18.0607,13.84,69.21,84,96,2.21,NA,light rain
333,Riyadh,24.6877,46.7219,84.2,10,0,11.5,SA,clear sky
334,Ruse,43.8564,25.9708,36.0,84,100,5.82,BG,overcast clouds
335,Copiapo,-27.3667,-70.3333,59.0,82,0,12.66,CL,clear sky
336,Ambunti,-4.2365,142.8448,86.32,66,100,2.53,PG,overcast clouds
337,Ahipara,-35.1667,173.1667,70.16,55,10,3.44,NZ,clear sky
338,Omsukchan,62.5333,155.8,-4.5,94,100,7.16,RU,light snow
339,Alepe,5.5004,-3.6631,78.8,89,0,5.75,CI,light rain
340,Coahuayana,18.7333,-103.6833,77.0,57,1,11.5,MX,clear sky
341,Aborlan,9.4352,118.5492,82.4,78,40,4.61,PH,scattered clouds
342,Ust-Maya,60.4167,134.5333,-1.66,91,100,1.19,RU,overcast clouds
343,New Glasgow,45.5834,-62.6486,46.4,53,100,4.61,CA,overcast clouds
344,Abha,18.2164,42.5053,62.6,48,0,1.1,SA,clear sky
345,Khanu Woralaksaburi,16.0617,99.8606,86.0,50,34,5.53,TH,scattered clouds
346,Isangel,-19.55,169.2667,84.2,61,75,9.22,VU,broken clouds
347,Barabai,-2.5833,115.3833,81.43,80,84,1.41,ID,broken clouds
348,Anqing,30.5092,117.0506,61.0,60,1,2.77,CN,clear sky
349,Port-Gentil,-0.7193,8.7815,80.4,76,100,10.0,GA,overcast clouds
