City_Id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Sao Filipe,CV,2021-03-24 23:12:20,14.8961,-24.4956,72.46,70,7,18.19
114,Corrente,BR,2021-03-24 23:12:20,-3.7367,-43.3394,72.81,97,100,3.22
115,Fortuna,US,2021-03-24 23:12:20,40.5982,-124.1573,53.01,76,90,14.97
116,Lebu,CL,2021-03-24 23:10:27,-37.6167,-73.65,54.95,65,1,17.98
117,Saldanha,ZA,2021-03-24 23:12:21,-33.0117,17.9442,73.4,56,3,4.61
118,Khurda,IN,2021-03-24 23:12:21,20.1833,85.6167,77.0,65,40,2.37
119,Ponta Do Sol,PT,2021-03-24 23:12:21,32.6667,-17.1,57.99,63,100,1.99
120,Maceio,BR,2021-03-24 23:12:22,-9.6658,-35.7353,78.8,83,75,4.61
121,Bambanglipuro,ID,2021-03-24 23:12:22,-7.95,110.2833,76.75,87,100,3.56
122,Chernyshevskiy,RU,2021-03-24 23:12:23,63.0128,112.4714,-20.54,100,100,2.39
123,Coos Bay,US,2021-03-24 23:12:23,43.3665,-124.2179,48.99,93,90,9.22
124,Cherskiy,RU,2021-03-24 23:12:23,68.75,161.3,-0.02,91,100,4.47
125,Aklavik,CA,2021-03-24 23:12:23,68.2191,-135.0107,15.8,53,90,5.75
126,San Rafael,AR,2021-03-24 23:12:24,-34.6177,-68.3301,70.61,34,0,9.4
127,Kashi,CN,2021-03-24 23:12:24,39.4547,75.9797,51.8,17,0,11.18
128,Itarema,BR,2021-03-24 23:12:24,-2.9248,-39.9167,77.74,83,94,7.47
129,Yellowknife,CA,2021-03-24 23:12:25,62.456,-114.3525,9.0,52,1,10.36
130,Whitehorse,CA,2021-03-24 23:12:25,60.7161,-135.0538,24.01,46,75,4.61
131,Nanortalik,GL,2021-03-24 23:12:25,60.1432,-45.2371,18.63,54,24,32.99
132,Leshukonskoye,RU,2021-03-24 23:12:25,64.8989,45.7622,34.3,97,100,11.95
133,Nhulunbuy,AU,2021-03-24 23:12:26,-12.2333,136.7667,80.6,89,100,2.26
134,Castries,LC,2021-03-24 23:12:26,13.9957,-61.0061,80.6,65,20,8.05
135,Buritizeiro,BR,2021-03-24 23:09:17,-17.3511,-44.9622,75.04,61,67,2.33
136,Trofors,NO,2021-03-24 23:12:26,65.5333,13.4063,37.4,75,40,3.44
137,Kilifi,KE,2021-03-24 23:12:26,-3.6305,39.8499,78.76,76,22,4.25
138,Praya,CV,2021-03-24 23:12:27,14.9215,-23.5087,68.0,77,0,17.27
139,East London,ZA,2021-03-24 23:12:27,-33.0153,27.9116,68.47,86,100,11.88
140,Phichit,TH,2021-03-24 23:12:27,16.25,100.4167,84.99,52,100,5.77
141,Zhigansk,RU,2021-03-24 23:12:28,66.7697,123.3711,-26.34,100,100,5.28
142,Erzin,TR,2021-03-24 23:12:28,36.9559,36.2,55.0,63,86,28.01
143,Klyuchevskiy,RU,2021-03-24 23:12:28,53.5317,119.4519,15.76,87,67,3.0
144,Port Elizabeth,ZA,2021-03-24 23:12:28,-33.918,25.5701,68.0,83,20,11.5
145,Qasigiannguit,GL,2021-03-24 23:12:29,68.8193,-51.1922,-2.2,71,90,10.36
146,Grand Gaube,MU,2021-03-24 23:12:29,-20.0064,57.6608,77.0,87,80,8.79
147,Barquisimeto,VE,2021-03-24 23:12:29,10.0739,-69.3228,75.24,76,83,4.38
148,Siilinjarvi,FI,2021-03-24 23:12:30,63.0833,27.6667,35.6,87,0,8.05
149,Talnakh,RU,2021-03-24 23:12:30,69.4865,88.3972,15.21,94,100,10.2
150,Palora,EC,2021-03-24 23:12:30,-1.7,-77.9333,68.0,100,90,0.49
151,Tura,IN,2021-03-24 23:12:30,25.5198,90.2201,71.62,25,47,3.56
152,Kahului,US,2021-03-24 23:09:05,20.8947,-156.47,82.4,65,40,9.22
153,Victoria,HK,2021-03-24 23:11:09,22.2855,114.1577,71.01,81,0,3.0
154,Sitka,US,2021-03-24 23:08:50,57.0531,-135.33,37.4,87,90,10.36
155,Torbay,CA,2021-03-24 23:12:31,47.6666,-52.7314,37.0,69,75,9.22
